Date,EGPU
2010/1/4,44.95033428020792
2010/1/5,46.3002629309349
2010/1/6,46.718203609096626
2010/1/7,46.640002651654086
2010/1/8,46.571609870610935
2010/1/9,46.835648697073076
2010/1/10,46.37328309596761
2010/1/11,46.227339184303744
2010/1/12,47.9968891724313
2010/1/13,49.319092054373584
2010/1/14,49.34102294730911
2010/1/15,48.79427299360027
2010/1/16,48.43004106172375
2010/1/17,48.62090657238735
2010/1/18,49.312902545667505
2010/1/19,49.409657911470546
2010/1/20,50.75653801421198
2010/1/21,50.555479144958504
2010/1/22,50.39573270685203
2010/1/23,50.06188575499082
2010/1/24,51.01633409560569
2010/1/25,51.46056262885316
2010/1/26,51.208668839266544
2010/1/27,51.32684102296035
2010/1/28,51.335083554057555
2010/1/29,51.300684293921215
2010/1/30,50.87025423144285
2010/1/31,50.946963699233166
2010/2/1,51.6142233678725
2010/2/2,52.32153462158216
2010/2/3,52.67180643746672
2010/2/4,53.41582360472031
2010/2/5,53.52149376861754
2010/2/6,52.98526248274216
2010/2/7,53.14587390474161
2010/2/8,53.03711149350607
2010/2/9,51.7382198723255
2010/2/10,51.50646713876342
2010/2/11,50.20722445495135
2010/2/12,51.14885255505523
2010/2/13,50.36565926859246
2010/2/14,49.741022745218544
2010/2/15,49.28712389653376
2010/2/16,50.350583089090826
2010/2/17,50.350583089090826
2010/2/18,49.909065738906975
2010/2/19,48.55913708817999
2010/2/20,48.14119641001825
2010/2/21,48.379054031527915
2010/2/22,48.39777440346191
2010/2/23,48.50859527862117
2010/2/24,48.69096581577574
2010/2/25,48.49415771878929
2010/2/26,48.36097665424305
2010/2/27,47.80755313941833
2010/2/28,46.10837507168133
2010/3/1,46.28179695648643
2010/3/2,46.70185430722791
2010/3/3,46.677201588028765
2010/3/4,45.262301563130656
2010/3/5,44.29547982041615
2010/3/6,44.58984252657169
2010/3/7,43.827932305423396
2010/3/8,44.25687489390782
2010/3/9,44.667016391229545
2010/3/10,43.91835304998353
2010/3/11,42.501613236453615
2010/3/12,42.01456856672432
2010/3/13,42.76300097243744
2010/3/14,42.39288016767491
2010/3/15,42.871409603661256
2010/3/16,43.40494696934639
2010/3/17,43.620324490973005
2010/3/18,43.367218086951624
2010/3/19,43.40150037140767
2010/3/20,43.11641524477875
2010/3/21,42.41351967447236
2010/3/22,41.638624233708896
2010/3/23,42.22262875631747
2010/3/24,42.1469849316284
2010/3/25,42.602675418684775
2010/3/26,43.43284668090535
2010/3/27,43.5614258635204
2010/3/28,44.7761030348528
2010/3/29,44.750909320692905
2010/3/30,46.30855949111413
2010/3/31,47.684059654874524
2010/4/1,49.12433856170432
2010/4/2,48.82437601509961
2010/4/3,50.61978204219838
2010/4/4,52.51534199653114
2010/4/5,53.26678095145546
2010/4/6,54.3297926102506
2010/4/7,53.07969721105143
2010/4/8,53.138231827677416
2010/4/9,52.870592709233925
2010/4/10,52.739730894360854
2010/4/11,52.17913353395527
2010/4/12,52.210863407020504
2010/4/13,52.81142538188612
2010/4/14,54.22507415287474
2010/4/15,54.586782866494346
2010/4/16,54.57983729325239
2010/4/17,54.89597027210814
2010/4/18,55.622817332087216
2010/4/19,57.22956905475099
2010/4/20,56.3822509753705
2010/4/21,57.117400175955524
2010/4/22,56.159956517007345
2010/4/23,54.68494501112694
2010/4/24,54.63555122567009
2010/4/25,56.34840179484138
2010/4/26,57.87911368905138
2010/4/27,56.851912240606126
2010/4/28,56.30781006022783
2010/4/29,55.853496206147064
2010/4/30,55.28493766471547
2010/5/1,54.95320619526047
2010/5/2,54.6533121515054
2010/5/3,53.7995522337818
2010/5/4,53.7744431266891
2010/5/5,54.775084146534596
2010/5/6,55.81680376833283
2010/5/7,56.19774660771289
2010/5/8,56.74058037628889
2010/5/9,55.975570118286456
2010/5/10,56.10688982991924
2010/5/11,56.40784238853648
2010/5/12,55.548869405995134
2010/5/13,55.25031601058646
2010/5/14,55.15855325811333
2010/5/15,55.66580885587859
2010/5/16,55.22583757213949
2010/5/17,54.94913726507185
2010/5/18,53.51317894315645
2010/5/19,52.99385770396214
2010/5/20,53.150568810593924
2010/5/21,53.8945115286301
2010/5/22,53.670259800280284
2010/5/23,53.23503021966965
2010/5/24,54.022485797973424
2010/5/25,54.81904824101059
2010/5/26,55.892886249403446
2010/5/27,56.00109229610351
2010/5/28,56.06371876591025
2010/5/29,56.13398829870843
2010/5/30,56.80839504113972
2010/5/31,57.260016827369064
2010/6/1,56.96132155216159
2010/6/2,57.70799899482674
2010/6/3,57.28007822616546
2010/6/4,57.68200446892443
2010/6/5,57.77574300298202
2010/6/6,58.25159031513649
2010/6/7,59.55795555180617
2010/6/8,60.32075203429564
2010/6/9,60.05401892806984
2010/6/10,60.02150407122618
2010/6/11,60.94571865362923
2010/6/12,61.80837021628802
2010/6/13,60.41785428934162
2010/6/14,60.803887314606264
2010/6/15,59.88806562881792
2010/6/16,60.22571314442254
2010/6/17,60.941664797851274
2010/6/18,61.139144819890134
2010/6/19,60.56594813564758
2010/6/20,59.705351827913624
2010/6/21,59.27274009114361
2010/6/22,57.673345099260395
2010/6/23,58.95771442905678
2010/6/24,58.551034966834585
2010/6/25,58.78027784646256
2010/6/26,58.56370024066103
2010/6/27,58.633358286666734
2010/6/28,59.25645425629818
2010/6/29,58.71313505755461
2010/6/30,59.67627197432129
2010/7/1,60.22493460359593
2010/7/2,61.07111203224093
2010/7/3,59.69487331710248
2010/7/4,59.48681881402595
2010/7/5,59.71011799876753
2010/7/6,60.899479732372946
2010/7/7,61.174284552111615
2010/7/8,61.36796731427516
2010/7/9,60.272412686731855
2010/7/10,58.44287437244741
2010/7/11,57.98035458388868
2010/7/12,57.89180225184595
2010/7/13,58.17161930502775
2010/7/14,57.800692180364564
2010/7/15,57.61512741998656
2010/7/16,57.78224474012914
2010/7/17,58.2799612749736
2010/7/18,58.40942964173502
2010/7/19,59.07887611293922
2010/7/20,59.22329853636553
2010/7/21,59.6508035517939
